Janitor 40 Male Married $44089
42 Female $61649 Widowed Designer
Male $87612 Married 50 Teacher
$85314 39 Male Widowed Policeman
Firefighter Female Married 48 $61744
Firefighter Male $86868 Single 32
Teacher $113253 Married Male 47
$9544 Retiree Female Married 69
$321211 Male Married 53 Psychiatrist
Married Policeman Female $42510 52
Retiree Married $8983 65 Male
Single Student 14 Female $0
$69655 Secretary 35 Widowed Female
Retiree Female $6725 93 Widowed
Male $0 Student 22 Married
Retiree Male 74 $7198 Married
$8010 Retiree Married Female 79
Student Female 17 $0 Single
Single $7866 Female Retiree 82
Female $67190 Secretary 55 Married
$11915 Married Female Retiree 66
Married $64788 Teacher 30 Male
Retiree Married Male $11614 94
Married Female 23 Student $0
53 $89477 Botanist Male Widowed
$117832 Male Married 49 Teacher
Actor 45 $307155 Female Widowed
83 Female $8816 Married Retiree
100 Retiree $9414 Female Married
Female Married Retiree $11280 86
76 Female Married Retiree $7576
25 $210409 Married Male Actor
Married 89 $5145 Retiree Male
$0 Single Unemployed 3 Male
Judge 30 Single Female $448693
Bookeeper 27 Married $56773 Female
$158799 Divorced 42 Accountant Female
Single Accountant 30 Male $207600
Married $73769 34 Soldier Female
Single Student 8 $0 Male
$52249 52 Clerk Female Divorced
56 $111509 Businessman Female Single
Female 88 Single Retiree $10787
$0 2 Unemployed Single Female
Retiree $9588 81 Married Male
$48379 27 Male Married Plumber
Married $0 24 Female Student
$10071 Retiree Male Married 70
$93147 Veterinarian 55 Married Female
Single Psychiatrist 33 Female $189713
$0 Single 4 Male Unemployed
1 Unemployed Female $0 Single
28 Single $112809 Male Architect
Student $0 Single 14 Female
Retiree 77 Male $6803 Married
62 Female Single $236122 Businessman
35 $335666 Married Female Pilot
Nurse $101731 64 Married Female
78 Male Retiree Married $8305
Single $0 Student 24 Male
$11592 Single Retiree Male 90
$58453 Other Married Botanist 26
Student Female $0 Single 10
4 Male Unemployed Single $0
$0 Unemployed Female 2 Single
$11943 Retiree 95 Single Male
Female $109645 Divorced 45 Actor
Married $11719 Male Mechanic 24
33 Married Secretary Female $83478
13 Male Single $0 Student
Single 76 Male Retiree $5834
$5722 Retiree 68 Female Single
Student $0 Male 18 Single
Single 19 Student Male $0
Single 4 $0 Unemployed Female
Male Single $0 Student 18
14 Male $0 Single Student
$657 Student 15 Male Single
$10356 Plumber Male 22 Married
Student Female 14 Single $0
$0 18 Male Student Single
Female 44 Dentist $84223 Married
65 Retiree Married $5867 Male
Retiree 96 Single Male $6657
Male 70 $9993 Single Retiree
$0 Single 8 Student Male
Female 67 Single $4553 Retiree
Female Researcher $94452 Single 34
48 Female Married $292263 Pilot
Female $0 Unemployed 3 Single
56 Female Author Married $318457
Student Female $0 15 Single
Retiree Female Single $7454 68
Male Student $0 Single 7
Single Female Unemployed 5 $0
Retiree Female Married $5408 76
Retiree 98 Single Female $5590
$9387 98 Divorced Retiree Male
Retiree $6905 Female Divorced 71
Married $315958 Psychiatrist 60 Female
Retiree Male Married $4305 91
Businessman Widowed 28 Female $179532
Married Dentist $48433 26 Female
96 Female Single Retiree $8478
4 $0 Unemployed Female Single
$10714 88 Single Retiree Male
Policeman Married Male 36 $52231
Single Unemployed $0 Male 3
Female $5304 Married 72 Retiree
Married Male 24 Plumber $8033
Retiree Male $6159 Married 87
Driver $102584 Single 50 Male
$10516 94 Retiree Female Married
Female 75 Married $11754 Retiree
Married 84 $8294 Retiree Male
$8791 Married Female Retiree 76
$0 Student Single 13 Female
Divorced Other 64 Psychiatrist $280330
$215829 Married Male Surgeon 49
Student 18 Single Female $0
Married $136380 Surgeon 50 Male
27 Male $67706 Chemist Married
Student $0 Single 13 Female
$0 17 Student Female Single
$5166 Retiree Female 67 Married
Married Male Janitor $8779 19
Widowed 49 $98411 Female Firefighter
Married 41 Policeman Female $88847
$0 Single 17 Male Student
Married Other Judge 50 $103098
Chemist Married 35 $110167 Male
Female Single 28 Doctor $232866
Married Male 85 $434040 Businessman
Retiree 75 Married $4978 Female
$4829 Retiree Male Married 94
Other Retiree 71 Married $4917
$27281 Florist 56 Married Female
Widowed $4917 Female Retiree 83
Businessman Married Male $424370 93
12 Student Single $0 Male
Married Retiree Female 85 $11031
Male Student Single 8 $300
61 Divorced Dentist Male $49513
Pilot Single $114477 47 Male
Married Retiree 92 Female $9780
$276833 Single 37 Male Model
Married Accountant 28 Female $246165
28 Researcher Female $94991 Divorced
Chemist $109863 41 Married Male
82 $6017 Retiree Married Male
32 $84818 Married Male Botanist
$7158 Other 79 Retiree Married
Male Businessman Married 57 $306586
Accountant Male $310345 Married 38
Divorced Female Retiree 76 $5745
Retiree $11842 95 Female Single
Psychiatrist 64 Male Married $252562
83 $7324 Single Female Retiree
$5096 Married Female 69 Retiree
37 Male $257697 Surgeon Married
$4565 Male Retiree 75 Married
78 Single $9229 Female Retiree
$8161 80 Retiree Male Married
31 Female $80981 Married Nurse
Programmer Female $60694 64 Divorced
75 Single Retiree Female $10086
Male Married Librarian $57936 43
$7297 89 Female Single Retiree
Retiree $10490 Married Male 78
Single $100 7 Female Student
$52145 Female Clerk Married 50
Married Male 51 Pilot $144161
13 $0 Male Single Student
Student 10 Single $0 Female
Divorced Retiree 95 Female $10763
$66175 Married Researcher 26 Female
Female $112145 32 Married Actor
Male 97 $4297 Retiree Widowed
50 Florist Female Single $18538
$42399 Married Male 49 Nanny
Retiree Married Male 91 $6144
Married $6085 Retiree Male 88
Male Accountant Widowed $330038 27
Single 8 $0 Student Female
Pilot Married Male 47 $390853
$5519 73 Male Retiree Single
Married Judge 62 Male $340926
39 $17589 Librarian Male Married
Female $0 Married Student 21
Female Divorced 38 Actor $144347
Retiree Married Male 72 $9166
$16603 Married 37 Female Barista
Other Student Single $0 7
Retiree Married 73 Male $6970
Married Retiree $6843 100 Male
Florist 25 Male $19645 Single
Cashier $8442 Married 21 Female
Researcher Male $46702 Single 45
$972 Single Student 13 Other
Student Single $0 Male 11
21 $0 Single Male Student
Male $115087 60 Driver Married
$7677 Single Retiree 88 Male
10 Student Female Single $100
Single Female $0 Unemployed 5
Male 91 Married Retiree $10960
93 Retiree $5954 Married Male
Married Female 99 $7851 Retiree
$47916 63 Researcher Male Married
Retiree Female $11792 78 Married
Cashier 22 $8105 Male Single
$6168 100 Married Retiree Male
Lawyer 62 Female $434027 Single
Single $300 Student 11 Female
$81912 27 Veterinarian Male Married
Male $49133 Musician 38 Married
Married Female 78 $5819 Retiree
$9142 23 Female Cashier Single
Carpenter Married $116279 Female 29
$0 Single Male 10 Student
34 Married Pilot $115727 Female
25 Married Teacher Female $40022
$0 Student 22 Female Single
$50582 38 Male Single Model
Student Single 11 $0 Female
16 $4973 Female Student Single
Single Male Student 9 $300
Banker Single Male $131079 57
30 Doctor Female Married $397513
$19511 Single 46 Mechanic Male
Divorced 83 $5766 Female Retiree
90 Male Married Retiree $6041
Author Married $439820 43 Male
Retiree $5066 Married 94 Female
Barista 43 $28351 Married Female
5 Unemployed Male $0 Single
51 Banker $353713 Male Married
56 Married Zoologist $88783 Male
22 Married $8162 Female Cashier
Unemployed Female $0 1 Single
60 Male $98380 Widowed Driver
Retiree Male Single 65 $9426
$11258 Retiree 85 Single Female
Male Botanist $56133 64 Married
$63825 Female 49 Widowed Driver
64 Married Barista $36987 Female
Female Retiree Single 69 $5624
Photographer 28 $402706 Female Single
Single $0 Student Female 9
$9783 Male Married Janitor 19
1 $0 Unemployed Single Female
Male 88 Retiree $10095 Married
$6789 79 Married Retiree Male
Male Married 31 Policeman $65044
54 Married Researcher $92210 Male
24 Single Driver $9628 Female
$6724 Male 97 Retiree Married
Female $7978 Single Student 21
$93199 59 Chemist Female Married
$54675 Cashier 38 Male Widowed
Retiree Female $9528 73 Married
Single $10958 Male Retiree 94
75 Retiree Female Married $9823
Female $0 Unemployed Single 4
78 $8638 Male Married Retiree
Male $4826 Married 90 Retiree
Student $0 Single Male 24
$11000 Female 73 Retiree Married
Married Male Retiree $11869 75
Single 87 Retiree Female $10714
Female Retiree 74 Married $7353
34 Lawyer $233714 Single Male
$9952 Married Retiree Female 72
Single 4 Unemployed Male $0
Married $11190 Retiree Male 84
Doctor 35 Male Divorced $135507
$7708 Retiree 77 Female Married
Student 22 $0 Married Male
12 Single Student $0 Female
Nanny Married $41034 Female 46
Banker 38 Widowed $100929 Male
$422424 Married Professor 59 Male
98 Male $5044 Retiree Single
Retiree Male $11655 78 Married
Male 61 Widowed Actor $236638
Female $156170 48 Pilot Married
35 Dentist $41675 Male Married
Male Retiree Divorced 66 $11069
$300 Student Female 11 Single
Male 18 Student $0 Single
Actor $211367 51 Single Male
Male $11690 Retiree Married 74
$11254 Retiree 65 Married Male
$189826 Psychiatrist Widowed Female 33
98 $7263 Retiree Widowed Female
Married $9523 94 Retiree Female
$297065 36 Male Banker Single
$143992 84 Female Married Businessman
$4765 Female 88 Retiree Married
Widowed Male Businessman 98 $316438
Retiree Single $10194 100 Female
Married Retiree $10636 Female 80
Single 67 Retiree Male $8781
Female Single $0 Student 7
Married Female $54587 62 Programmer
Male Married $68218 Chemist 41
Female 46 Surgeon Single $184538
$9548 Male Single 91 Retiree
1 Male Single Unemployed $0
26 Married Male Judge $315700
98 Businessman $445315 Male Married
Student 16 Single $2479 Female
54 Married $103079 Female Surgeon
41 Widowed Waiter Male $22918
Single 7 Student Male $0
$46996 Male Dentist 41 Married
Married 72 Other Retiree $7705
Zoologist Married $59927 Male 57
Female $0 Single 5 Unemployed
Male $0 Single 2 Unemployed
13 Single Female Student $0
86 Retiree $6087 Single Female
Married $9496 88 Male Retiree
$211909 Chef Married Female 31
Author Married 53 $120511 Female
Married 28 Salesman Male $81706
$8521 Retiree Widowed Female 66
Retiree 70 Female Married $8765
$378003 Married 33 Surgeon Female
Married 41 Architect Male $362413
98 Male Married Retiree $8599
Retiree 87 Married $11154 Female
$10425 98 Retiree Married Female
Retiree 82 Married Female $8684
Male Designer Married $25042 41
$6879 Divorced 19 Student Male
Female 99 $6096 Divorced Retiree
Widowed 94 $11974 Retiree Male
Single 11 Student $100 Male
40 Divorced Photographer $405993 Female
Retiree 82 Female Married $11203
$620 Student Single 14 Male
Female $52545 Married 36 Waiter
Student Single $0 6 Female
$7073 Retiree 69 Widowed Male
Married $4508 65 Male Retiree
Female $0 Single 10 Student
Single $0 13 Student Male
Retiree $10094 70 Divorced Male
40 Female Nurse Single $103983
$10246 Retiree Married 75 Male
Female Married 66 $10115 Retiree
33 $97528 Male Married Chef
Female $383368 55 Pilot Married
6 Female Single Student $0
98 Retiree Female $8084 Married
Unemployed $0 Single 5 Female
Female Single 14 Student $0
$312991 42 Married Psychiatrist Female
21 Female Single Student $0
Other 78 $9169 Retiree Married
Plumber 51 $26692 Single Male
Single Accountant Male 39 $328079
Retiree Widowed $5290 Male 89
$211981 Single 28 Male Architect
96 $9591 Retiree Married Male
Widowed Retiree Female 66 $5589
Driver $83620 44 Married Female
58 $111445 Secretary Female Widowed
Retiree 98 $5758 Female Married
$0 Female Single 18 Student
Male Single $0 Student 16
Retiree $4698 Married 69 Female
83 Female Single $7844 Retiree
Female 98 Retiree $10334 Married
8 Single Male Student $0
Student Single 19 Male $0
Student Male $0 Single 8
Single Male $0 Student 9
$241413 Married 28 Female Carpenter
$42405 41 Female Widowed Salesman
Salesman 59 $99147 Male Married
$8630 Divorced Male Retiree 65
Female $7191 Single 70 Retiree
Married Male Psychiatrist $202196 54
Plumber 24 Single Male $7879
Female Surgeon Widowed $447557 47
Actor Married $404562 41 Female
$79497 Married 54 Programmer Female
Female $0 Divorced Student 24
Female $5985 Retiree 89 Single
Female 37 $84316 Married Salesman
Married $3126 Female 21 Student
$4511 85 Single Male Retiree
50 Male Firefighter Divorced $96152
1 $0 Single Female Unemployed
48 Married $69236 Firefighter Male
$296522 Psychiatrist Male 41 Married
Married Accountant 60 $229104 Male
Married Male 51 $290801 Chef
Retiree Male Single 79 $4800
Retiree 73 Married Male $4811
Retiree 73 Single $11265 Male
Female Single Waiter 21 $7141
Married $260600 Female Musician 54
Retiree 78 $9262 Male Married
$11478 Retiree Female Married 90
Male $0 Unemployed 4 Single
$58751 59 Male Widowed Janitor
Retiree Divorced $8868 Male 73
Female Married $5139 Retiree 94
54 Dentist Single Female $92532
91 $5324 Married Male Retiree
Retiree Married Female $7709 78
$7846 Retiree Divorced Male 93
Male 61 Policeman Divorced $50985
81 Male Retiree $8910 Married
34 $330774 Female Married Actor
$0 Single Male 1 Unemployed
Married Chef $421054 Female 64
$8935 Male Retiree 87 Married
92 Single Retiree $9687 Female
$212344 Male 63 Actor Divorced
$5022 Male 81 Married Retiree
98 Retiree Male Married $6045
Male Accountant $329336 Single 42
Married 77 $5256 Retiree Female
$256605 48 Female Lawyer Single
18 Single $4046 Female Student
Artist Female $35419 Married 39
88 Married $6864 Female Retiree
$174215 Male Surgeon Married 57
Male Unemployed $0 Single 3
Student Male $0 Divorced 19
Zoologist $44592 47 Married Female
15 $0 Single Male Student
Married 61 Botanist $61592 Female
98 Male $4540 Retiree Married
Married Female $94696 Policeman 41
92 Retiree Married Female $6621
Male 46 Married $104852 Dentist
80 Widowed $389901 Businessman Female
Divorced Retiree $11639 84 Female
Student 17 Female $0 Single
Divorced Businessman $166765 Female 99
$305138 38 Female Married Designer
Male 47 $407352 Professor Married
Single 20 Student $0 Female
Married $10064 Retiree Female 69
Retiree 81 Married Female $9632
$55732 Divorced 27 Male Barista
Married $116848 Dentist 53 Male
Male 81 Retiree Married $5484
Married $48193 52 Zoologist Female
$11185 74 Widowed Retiree Female
Male $8555 Divorced 67 Retiree
Retiree Married $4306 Female 68
$425491 Model 29 Male Married
Single $208517 Doctor Male 35
Retiree Female 68 $9423 Married
$314081 54 Female Married Banker
$209299 Widowed 41 Photographer Female
Unemployed 4 Single $0 Male
$15569 34 Waiter Widowed Male
Male Student 6 $100 Single
Retiree $5530 95 Married Male
$0 Single Student Male 12
1 Unemployed $0 Single Female
$0 Female 18 Student Single
Veterinarian $110084 Female 40 Widowed
Married Female 76 $4635 Retiree
91 $7778 Male Widowed Retiree
Retiree Married $10756 Male 75
Male Teacher 55 Married $72237
Female $41264 60 Married Librarian
Married $7499 Female 67 Retiree
$68420 Divorced Female 55 Nurse
Married Female 92 Businessman $249899
Nurse $79766 Female 60 Married
Male 28 $56425 Married Mechanic
Male Married $365000 Chef 44
Single Student 9 Female $100
Married Nanny Female $37840 31
Female Student Single 22 $7664
Married Retiree $11076 79 Male
Female $102409 32 Psychiatrist Divorced
Retiree Married $7547 72 Male
Female Architect 61 $132684 Single
Student Married Female $0 21
Student Female 13 $0 Single
54 Lawyer $334254 Female Married
Retiree 88 $6289 Married Female
Student Female $0 Single 12
Female 72 Married $10534 Retiree
Female $4029 Retiree Married 76
$6077 Male Retiree Married 97
$6971 Retiree Female 86 Single
88 Female $9225 Retiree Single
Businessman Female $269549 68 Single
Male Married 47 $64229 Nurse
Female $4424 65 Retiree Married
91 Male $5333 Retiree Widowed
Retiree Married Male 83 $8482
Single 14 $0 Student Male
$60677 38 Nurse Female Single
15 Student $0 Single Female
63 $100795 Widowed Firefighter Male
Married Female Retiree 68 $7664
$7392 Single Janitor Female 21
$33946 Married Barista Female 28
Retiree Male $11216 Widowed 91
Male 53 Single Dentist $41995
3 Single $0 Female Unemployed
13 Student $0 Single Female
Single $0 Student 16 Male
$88066 Zoologist 42 Married Male
$0 3 Single Unemployed Female
Male 25 $112187 Programmer Married
Married Student Male 23 $0
Married Retiree 74 $8676 Male
2 $0 Single Male Unemployed
84 $10119 Married Retiree Male
8 Student $0 Single Female
$118944 Divorced Female 36 Chemist
Waiter Female $27405 Married 62
Single Student $0 8 Male
83 Retiree $4897 Married Female
49 Married Female $31820 Librarian
Married Female 94 Retiree $10017
$53728 42 Male Firefighter Married
Single Female $0 13 Student
Retiree Widowed $7293 Female 71
93 $10185 Single Retiree Female
Married Female Retiree 67 $11002
Married $146828 33 Male Photographer
Female $0 Single Student 17
Divorced $98795 Female Soldier 53
Female Single 9 Student $300
Student Single $0 Other 13
Single 97 Retiree Male $6765
Married Retiree Female $11863 72
87 Married Retiree $4902 Male
$0 Single Male Student 11
70 Male Married $9827 Retiree
Retiree $8204 70 Married Female
24 $0 Single Female Student
$72795 Female Married Driver 40
19 Single Female Student $0
Married 50 Waiter Female $20987
$4937 Male Retiree Single 72
Male Divorced $5041 74 Retiree
Male Zoologist 26 $105162 Married
Firefighter Married Female $103776 25
Widowed $55433 47 Secretary Male
$394464 Married 28 Male Musician
Male $66770 Veterinarian 35 Divorced
Female 94 Businessman $371009 Married
Student Male Single $404 13
Nurse 47 $84802 Single Female
Businessman Single $274171 29 Female
Male 52 Chemist $67494 Single
Widowed $11136 88 Retiree Male
Female $0 Student Single 9
Student $0 15 Single Female
Female Retiree 77 Divorced $8827
Retiree $6436 100 Married Male
16 Male Student Single $0
Unemployed Single Female 5 $0
93 Single $9704 Female Retiree
Female 60 Married $83332 Musician
Divorced Doctor 25 $442723 Female
Female $79737 Married 48 Nurse
$94164 34 Female Zoologist Married
Male $0 4 Unemployed Single
Female $237197 Married 62 Model
42 Veterinarian Widowed $101015 Female
Retiree Male 88 $8271 Married
Artist $370242 Female Single 56
$4025 Married Female 80 Retiree
Pilot 50 Married $377593 Female
67 $188459 Businessman Married Female
Married 40 Pilot Female $101044
31 Widowed Male Soldier $114823
$404291 Male 100 Married Businessman
83 Retiree Female Married $9460
Retiree Married 78 Male $9650
Married Teacher $70278 56 Male
$9690 Retiree Married Female 78
Single $0 1 Unemployed Male
$48515 27 Male Cashier Single
18 Student Single $0 Male
45 Plumber $49094 Female Single
3 Single Female Unemployed $0
$337785 Male 26 Businessman Single
$0 Male Single Unemployed 1
Divorced $62782 Policeman Female 52
Single $0 Male Student 22
82 $7192 Male Widowed Retiree
78 Female Single Retiree $11412
Married Female 82 Retiree $9279
$91225 Married Nurse 57 Female
Author Married 48 Female $48648
Single $66795 Salesman Male 53
$117090 Female 38 Married Programmer
Female 48 Architect $138131 Married
Retiree 74 $8516 Male Married
56 $61514 Married Female Model
$319546 Married 61 Lawyer Female
Female $0 Student 21 Divorced
Female 22 Student Single $0
Retiree $6133 100 Male Married
Unemployed Male Single $0 1
$113336 53 Divorced Female Driver
Single Student $0 Female 7
$145356 Actor Married Male 32
Nurse Single $119733 Female 26
Female Married Programmer 41 $111318
$8848 Retiree 83 Married Female
94 Retiree Male $8613 Married
Married Retiree Male 97 $6876
Retiree Married Female $5263 65
Retiree Male 67 $9059 Divorced
Student $1140 Male 16 Single
Female Married $119905 25 Botanist
$10424 Female 100 Married Retiree
Driver Male Married $53603 27
20 Single Student Female $0
$10348 Female Married 97 Retiree
Widowed Male $177859 Businessman 99
$100 Single 8 Male Student
Zoologist 64 Married Female $107138
49 Other $89850 Programmer Widowed
$5093 Male Student 22 Single
Male $125779 Married Author 38
$16281 54 Married Nanny Female
88 Male Retiree Divorced $5385
75 $6588 Married Retiree Female
Male Surgeon $443128 Married 39
Female Professor 57 $205217 Married
Retiree 98 $6583 Female Divorced
Female 16 $0 Single Student
87 $5640 Female Retiree Widowed
Divorced Male Chemist 46 $47676
Married $90811 Male Salesman 26
86 $6718 Retiree Male Married
20 Male $0 Student Married
82 $8680 Married Retiree Female
Married Retiree 85 $5188 Female
Divorced Researcher Male 28 $111551
Married $170293 51 Female Photographer
$209002 Businessman 56 Male Married
Lawyer $349308 Married 56 Female
15 $0 Single Student Female
Single $0 Student Female 14
Photographer Single Male 58 $186446
Student Single $0 7 Female
Male Professor $195588 Married 60
Researcher Widowed 33 $45019 Female
$0 Student Single 21 Male
39 $60774 Married Male Programmer
18 Male Student Single $0
93 $11656 Married Female Retiree
Female 49 Married $293409 Photographer
Single $0 Student 6 Female
Retiree Male 70 Married $9451
Male $15453 26 Bookeeper Married
Widowed Female Botanist 32 $45454
Retiree Male $4591 Married 89
Single 11 Male Student $0
Widowed Policeman $87495 39 Female
Widowed $5256 93 Male Retiree
95 Female Businessman Married $182421
Single 71 $5304 Female Retiree
Married Secretary $87361 Female 38
42 Married Botanist Male $110819
$47201 Single Male 42 Florist
56 Chemist $100660 Male Married
$0 Student Single Male 17
Accountant $421461 27 Married Female
2 $0 Unemployed Female Single
40 Divorced Secretary Female $40717
Clerk Divorced $31666 Female 26
Single Female $0 7 Student
34 Female Accountant Married $179958
$79993 43 Married Male Dentist
Male $0 Single Student 20
Retiree Male Married 88 $11700
Male Married 69 Retiree $9228
Dentist $111212 32 Married Female
Male $0 Student 9 Single
Policeman Male $97552 Married 64
Veterinarian Married Female $53289 46
39 Chemist Married $41065 Male
Married $46090 55 Bookeeper Female
Divorced Retiree Female 88 $9655
51 $72774 Married Salesman Male
Male 70 Retiree Divorced $9623
$8031 Retiree 70 Female Married
Single 9 Student $0 Male
$39867 Mechanic Male Single 31
Programmer Married 33 Female $41778
Single Male 21 $9589 Waiter
2 $0 Unemployed Single Female
Female Married Architect $381887 28
Female Divorced 29 $84631 Teacher
46 $236085 Pilot Male Divorced
Male Secretary Widowed $49942 54
Married $17575 Male Janitor 54
$53100 Plumber Male Divorced 50
Unemployed Female Single $0 1
$4380 Retiree Married Male 95
Single 35 Banker Male $358641
92 $5813 Married Retiree Male
Actor Single Female 35 $200082
Female 85 Retiree Single $6498
$0 Single Male 14 Student
Retiree Female $6790 72 Married
Male 13 Student Single $0
Married Female 34 $80345 Programmer
$78441 64 Female Veterinarian Widowed
$31653 Plumber Male 56 Married
$0 Single 20 Student Female
Widowed 74 $5892 Retiree Male
Married $111192 Teacher 56 Female
$7759 Retiree 82 Female Married
Unemployed Male Single 5 $0
8 Student Male Single $0
Female Retiree 77 $11904 Married
Married Pilot $182919 34 Female
$9666 88 Single Other Retiree
60 Male Nurse Married $59831
$102890 Male Nurse Divorced 33
$0 11 Student Single Male
Male $7255 Retiree 91 Widowed
25 Female Chef Widowed $314709
Unemployed $0 1 Single Male
20 $0 Male Divorced Student
$164106 Male Married Pilot 48
$801 Male Student Single 14
Retiree Female $11108 73 Married
Married Banker $359880 Male 56
Salesman $77029 Single Male 63
Married 37 $85176 Businessman Female
Divorced $7617 Retiree Male 94
71 Female Married Businessman $134431
52 Female Psychiatrist Married $426807
80 Female $4879 Retiree Single
21 Single $3618 Male Student
Male 19 Divorced Driver $7546
$5660 93 Married Male Retiree
$0 Unemployed Single 2 Female
Male 90 Retiree $9692 Married
Zoologist 29 Female Married $73235
$95548 Nurse Married 61 Female
Female 53 Teacher Married $61641
Photographer $226358 48 Male Married
$152418 Actor Divorced Male 32
$156994 Pilot Married Female 33
$58298 Nurse 25 Male Married
Male Nurse $81000 53 Single
Lawyer 38 Male $423588 Married
Married $5510 74 Retiree Male
67 Married Male Businessman $444778
Male 4 Unemployed Single $0
Female Retiree Married 79 $5428
Male Retiree $6786 88 Married
Female $4427 Retiree Married 93
Married Cashier $53178 Female 38
$9930 Retiree Married 67 Female
Policeman 61 Married $110934 Male
$345476 Female Surgeon 46 Widowed
Retiree Married $7397 96 Male
Businessman 77 Married Female $329697
Male Dentist 25 $103089 Married
$48319 Researcher Married Male 48
100 Retiree Married $5341 Female
Unemployed 4 Single $0 Male
Barista Divorced $31446 Female 30
Student Male Single 11 $0
19 Male Single Student $0
34 Married $69394 Policeman Female
$77530 Male 62 Married Secretary
Male 58 Married $34839 Waiter
Retiree 89 Divorced $9731 Female
Photographer Male 40 $277712 Divorced
99 Single Male $10297 Retiree
Librarian $28239 Married 50 Male
Divorced $5877 66 Retiree Female
Female $9575 Divorced Retiree 90
Male $431323 Actor Married 28
$4039 Female Married Retiree 79
Retiree Female Married $8172 95
Cashier $52686 Male Married 28
Married $99899 Female 40 Programmer
Retiree Married Male 66 $9025
Retiree Married $11020 Male 65
Student Single 6 Female $0
Male Single $10179 22 Clerk
Married $286083 Female Lawyer 60
43 Single Businessman Female $72696
4 Female Single $0 Unemployed
$9724 Female Married Retiree 95
98 Retiree $5581 Divorced Female
Student $0 Male Single 10
Nanny 55 $29992 Male Married
Widowed Retiree 89 $5600 Female
Male 96 $11087 Single Retiree
$3431 21 Male Student Single
$8912 Female Divorced Retiree 80
Widowed Female 50 $53237 Veterinarian
Student Single 16 Male $0
Driver $114219 Married Female 44
Married $305563 Male 25 Musician
Retiree Married $9251 95 Male
Married $148890 Female 82 Businessman
41 Pilot Married $359671 Male
$7426 Retiree Married Female 65
$5855 Retiree Female 81 Married
$83528 35 Dentist Married Female
Businessman 33 Married Male $99652
$0 15 Student Male Single
$46363 Clerk Married Female 35
62 Married Female $448124 Doctor
Female $171545 Married Architect 41
Male Married 48 Artist $317127
Female 17 Student $0 Single
Female Divorced Artist $448194 26
45 Single Bookeeper Female $37516
84 Male Businessman $111290 Single
$444233 Judge 62 Widowed Female
Single 36 Cashier Male $56560
40 Male $29658 Cashier Married
Male Single $9489 Retiree 94
$4079 Retiree 91 Male Divorced
Male Retiree Married 72 $5240
$0 7 Student Single Female
Divorced 70 Female Businessman $224748
Female Single 5 $0 Unemployed
80 Male $5267 Married Retiree
Female 63 Plumber Single $45402
Retiree Female 98 Divorced $7644
48 Female Secretary $91738 Divorced
53 Clerk $55949 Married Female
Married Female $9366 Retiree 65
Divorced Female $10671 82 Retiree
Retiree $7423 Female Married 95
Architect 61 $121256 Married Female
Single Businessman $347593 81 Male
Retiree $8772 Male Married 78
Male Widowed Retiree 85 $5065
52 Male Married $58808 Janitor
Widowed Salesman $53692 39 Male
Married 36 Female Programmer $95140
Married Plumber Female 24 $11387
Retiree Female $7035 Married 88
Male Nurse 41 $40474 Married
5 Unemployed $0 Female Single
12 $0 Female Student Single
Single $0 Male 10 Student
Female Retiree $10261 65 Married
Male Single $323120 56 Professor
Married 55 $74952 Designer Male
Male Retiree $9394 Single 99
99 Retiree Married $10880 Female
22 Model Single $7419 Female
Female 28 $194712 Businessman Divorced
96 Married $11694 Retiree Male
Single Female $11200 Retiree 86
Unemployed Male $0 Single 1
Single Female Student 8 $0
$3322 18 Student Single Male
Married Female Policeman 31 $103987
Male $41183 Secretary 44 Married
82 Married Businessman Male $378057
Secretary $55747 Female Married 47
$0 Single 14 Male Student
66 Female Married Retiree $7672
Married 89 Male Retiree $11991
Female 88 $10807 Retiree Married
Retiree Married $8841 90 Female
Male Married 29 Driver $80717
52 Soldier $52567 Male Married
Male 40 $18913 Married Waiter
Female Married 75 $4217 Retiree
Female 28 Chemist Widowed $65327
$413540 Female Married Doctor 35
94 $7646 Male Retiree Married
39 $113541 Female Divorced Secretary
Widowed Judge Male 37 $305299
Female $166030 Married 31 Photographer
Male 8 $0 Student Single
Married Judge $173851 27 Female
54 Widowed Female $25975 Nanny
Male $118953 Businessman Single 98
Male Retiree $8371 Divorced 72
95 Married $6784 Retiree Male
Veterinarian Female $90064 47 Divorced
Married $5292 88 Retiree Female
Female Divorced $430232 36 Architect
85 Married $380308 Businessman Female
$245984 Married Architect Male 61
$396039 43 Male Judge Married
$330162 Married Female 99 Businessman
6 Female Student Single $500
17 $1900 Student Single Male
$0 Student Married Male 21
Male Married $4716 Retiree 96
65 Male Retiree Single $10553
$0 Single Student Female 15
$18329 Bookeeper 60 Married Female
Married Actor $212735 37 Male
52 Male $282632 Married Surgeon
$16655 54 Mechanic Married Male
1 Other $0 Unemployed Single
Single Student 9 Male $0
Male Nurse 55 $47810 Widowed
Single Female 82 Retiree $8132
Male $0 Student Single 23
Retiree $11711 Female 68 Married
Widowed Retiree $11279 Female 80
$8916 95 Retiree Single Male
47 Nurse $103843 Female Married
27 $96930 Female Married Policeman
$0 Male 13 Single Student
Divorced Businessman 95 Female $99832
Nanny Male $48279 Single 29
Single Female $10843 93 Retiree
$146451 43 Male Married Accountant
99 Female Businessman $149652 Married
Married $7478 Retiree 80 Male
Student $0 Male 7 Single
Married Male 25 Soldier $67731
